timestamps,TP9,AF7,AF8,TP10,Right AUX
1595686202.550,-40.527,-20.020,-34.668,0.977,0.000
1595686202.553,-33.691,-22.949,-35.645,1.465,0.000
1595686202.557,-39.062,-30.273,-45.410,-14.160,0.000
1595686202.561,-48.828,-27.832,-46.875,-22.949,0.000
1595686202.565,-53.223,-29.297,-46.387,-24.902,0.000
1595686202.569,-48.340,-31.250,-50.293,-20.020,0.000
1595686202.573,-40.527,-30.273,-45.410,-15.137,0.000
1595686202.577,-35.645,-30.273,-40.527,-22.461,0.000
1595686202.581,-37.598,-28.809,-38.086,-23.438,0.000
1595686202.585,-40.039,-22.461,-40.039,-23.438,0.000
1595686202.589,-26.855,-20.508,-40.527,-10.254,0.000
1595686202.593,-12.207,-25.391,-36.133,6.836,0.000
1595686202.596,-19.043,-24.414,-40.527,-5.371,0.000
1595686202.600,-25.879,-19.043,-39.062,-13.184,0.000
1595686202.604,-25.879,-20.020,-37.598,-6.348,0.000
1595686202.608,-29.785,-25.879,-40.527,-3.906,0.000
1595686202.612,-22.949,-25.879,-41.992,0.000,0.000
1595686202.616,-17.090,-20.996,-42.969,-3.906,0.000
1595686202.620,-19.531,-18.066,-41.016,-9.766,0.000
1595686202.624,-20.020,-14.160,-37.598,-2.930,0.000
1595686202.628,-21.973,-8.789,-36.133,4.395,0.000
1595686202.632,-11.719,-13.184,-34.180,5.859,0.000
1595686202.635,-14.160,-15.137,-33.203,1.953,0.000
1595686202.639,-24.902,-13.184,-33.691,-0.977,0.000
1595686202.643,-24.414,-10.254,-31.738,1.953,0.000
1595686202.647,-22.461,-8.789,-30.762,0.000,0.000
1595686202.651,-15.625,-11.719,-30.273,5.371,0.000
1595686202.655,-13.672,-12.695,-29.785,8.789,0.000
1595686202.659,-19.531,-14.648,-31.738,-7.324,0.000
1595686202.663,-25.391,-17.090,-28.809,-13.672,0.000
1595686202.667,-21.973,-13.184,-22.949,-5.859,0.000
1595686202.671,-13.184,-12.695,-27.344,0.977,0.000
1595686202.675,-16.113,-17.090,-29.785,1.953,0.000
1595686202.678,-27.832,-24.902,-31.250,-7.812,0.000
1595686202.682,-35.645,-32.227,-33.691,-14.160,0.000
1595686202.686,-36.133,-30.762,-34.668,-7.324,0.000
1595686202.690,-30.273,-27.832,-37.109,2.441,0.000
1595686202.694,-26.855,-29.785,-35.156,1.465,0.000
1595686202.698,-31.738,-26.855,-32.227,-7.812,0.000
1595686202.702,-36.133,-20.996,-31.738,-9.277,0.000
1595686202.706,-31.250,-20.996,-28.320,5.859,0.000
1595686202.710,-28.320,-22.461,-27.344,10.742,0.000
1595686202.714,-23.438,-21.973,-29.297,2.441,0.000
1595686202.718,-22.461,-20.996,-32.227,0.977,0.000
1595686202.721,-40.039,-20.508,-31.738,1.953,0.000
1595686202.725,-44.922,-21.973,-32.227,3.418,0.000
1595686202.729,-32.227,-19.531,-33.203,9.277,0.000
1595686202.733,-26.855,-16.113,-32.715,5.859,0.000
1595686202.737,-33.203,-19.531,-34.668,-1.953,0.000
1595686202.741,-29.785,-20.996,-34.668,4.395,0.000
1595686202.745,-26.855,-16.602,-32.227,3.906,0.000
1595686202.749,-29.785,-13.184,-30.273,5.371,0.000
1595686202.753,-24.902,-15.137,-27.832,8.789,0.000
1595686202.757,-28.320,-19.531,-27.344,0.977,0.000
1595686202.760,-31.250,-15.137,-30.762,-1.953,0.000
1595686202.764,-38.574,-13.184,-34.180,-4.883,0.000
1595686202.768,-37.598,-16.113,-32.715,3.418,0.000
1595686202.772,-28.809,-18.066,-31.250,13.184,0.000
1595686202.776,-34.668,-17.578,-31.738,8.789,0.000
1595686202.780,-37.109,-10.742,-29.297,4.395,0.000
1595686202.784,-37.109,-9.766,-27.832,0.977,0.000
1595686202.788,-33.691,-18.555,-32.227,-8.301,0.000
1595686202.792,-31.250,-18.555,-33.691,-1.953,0.000
1595686202.796,-30.762,-16.602,-30.762,2.930,0.000
1595686202.800,-32.227,-14.160,-30.762,0.977,0.000
1595686202.803,-33.691,-10.254,-30.762,6.348,0.000
1595686202.807,-27.344,-12.207,-27.344,8.301,0.000
1595686202.811,-20.508,-13.672,-24.414,12.207,0.000
1595686202.815,-19.043,-13.184,-31.738,5.371,0.000
1595686202.819,-21.973,-15.625,-33.203,-5.859,0.000
